,id,publication_year,cited_by_count,author_ids
0,https://openalex.org/W2962772482,2019.0,4400,"['A5091251187', 'A5003777693', 'A5071524745', 'A5023007469', 'A5024505700', 'A5044898565']"
1,https://openalex.org/W2043890595,2006.0,1182,"['A5025218537', 'A5014662127', 'A5061287527', 'A5046546654']"
2,https://openalex.org/W1989597713,2009.0,1169,"['A5071165387', 'A5037969281']"
3,https://openalex.org/W2012580531,2007.0,1009,"['A5024505700', 'A5009248582', 'A5036237095', 'A5044898565']"
4,https://openalex.org/W2146530408,2007.0,853,"['A5025218537', 'A5016146759', 'A5046546654']"
5,https://openalex.org/W2142604507,2012.0,760,"['A5033887103', 'A5071165387', 'A5101768980', 'A5018493743', 'A5014088619']"
6,https://openalex.org/W2101108259,2011.0,674,"['A5002041772', 'A5044898565', 'A5100744117', 'A5024505700', 'A5038976962']"
7,https://openalex.org/W2067058552,2014.0,618,"['A5109097211', 'A5087072092', 'A5079452617', 'A5067563991', 'A5080792692', 'A5086183865', 'A5044809786', 'A5056574222']"
8,https://openalex.org/W2069977841,2007.0,489,"['A5025218537', 'A5046546654']"
9,https://openalex.org/W1882303714,2014.0,429,"['A5059787882', 'A5070491108', 'A5011488053', 'A5001656908', 'A5110311576', 'A5073875709', 'A5032926589', 'A5111672074', 'A5025218537']"
10,https://openalex.org/W2133255502,2009.0,399,"['A5071165387', 'A5014088619', 'A5002330321']"
11,https://openalex.org/W2046246518,2008.0,386,"['A5075298587', 'A5025218537', 'A5044153684', 'A5033081182']"
12,https://openalex.org/W2263859238,2021.0,355,"['A5058212934', 'A5039152133']"
13,https://openalex.org/W2007827489,2010.0,344,"['A5071165387', 'A5014088619']"
14,https://openalex.org/W2006218290,2012.0,314,"['A5059787882', 'A5070491108', 'A5014048759', 'A5033081182', 'A5042890616', 'A5039841997', 'A5031799782', 'A5025218537', 'A5046546654']"
15,https://openalex.org/W2012308264,2007.0,313,"['A5025218537', 'A5046546654']"
16,https://openalex.org/W2137775416,2007.0,312,"['A5045198704', 'A5070565287', 'A5087587379', 'A5005835240', 'A5006980420']"
17,https://openalex.org/W2994120362,2019.0,312,"['A5091251187', 'A5003777693', 'A5024505700', 'A5044898565', 'A5071524745', 'A5023007469']"
18,https://openalex.org/W2113867961,2010.0,303,"['A5072749955', 'A5039841997', 'A5042890616', 'A5025218537', 'A5084214981', 'A5033081182', 'A5090606361', 'A5046546654']"
19,https://openalex.org/W1999077228,2010.0,293,"['A5014088619', 'A5071165387']"
20,https://openalex.org/W2149920828,2012.0,289,"['A5058212934', 'A5074307166', 'A5102004622']"
21,https://openalex.org/W3168771811,2021.0,266,"['A5072860546', 'A5058212934']"
22,https://openalex.org/W2028318746,2007.0,263,"['A5037969281', 'A5071165387', 'A5030805884']"
23,https://openalex.org/W2123029908,2014.0,257,"['A5067563991', 'A5002087412', 'A5015478621', 'A5079452617', 'A5005292748']"
24,https://openalex.org/W1964198552,2013.0,231,"['A5079452617', 'A5009541673', 'A5067563991', 'A5010349830']"
25,https://openalex.org/W2082834741,2010.0,219,['A5071165387']
26,https://openalex.org/W2046759954,2007.0,214,"['A5025218537', 'A5014662127', 'A5061287527', 'A5046546654']"
27,https://openalex.org/W2099115593,2010.0,206,"['A5014088619', 'A5071165387', 'A5002330321']"
28,https://openalex.org/W2114851745,2009.0,200,"['A5014088619', 'A5071165387']"
29,https://openalex.org/W2105085692,2008.0,197,"['A5071165387', 'A5037695214', 'A5022967411', 'A5028869415']"
30,https://openalex.org/W1572494897,2008.0,196,"['A5024505700', 'A5044898565']"
31,https://openalex.org/W4327811957,2023.0,195,"['A5038274891', 'A5061923992', 'A5084955495']"
32,https://openalex.org/W2965970765,2019.0,194,"['A5044898565', 'A5024505700', 'A5091251187', 'A5003777693', 'A5071524745', 'A5023007469']"
33,https://openalex.org/W2616076417,2002.0,180,"['A5037774973', 'A5070565287', 'A5053234439']"
34,https://openalex.org/W1593806347,2009.0,174,"['A5044898565', 'A5071524745', 'A5023007469']"
35,https://openalex.org/W4205365706,2022.0,172,"['A5086904102', 'A5052641887', 'A5071524745', 'A5044898565', 'A5114376321']"
36,https://openalex.org/W1890016494,2015.0,163,"['A5067563991', 'A5079452617', 'A5042066719', 'A5002087412', 'A5071485738']"
37,https://openalex.org/W2066152741,2010.0,148,"['A5014088619', 'A5071165387']"
38,https://openalex.org/W2771799679,2018.0,148,"['A5101951506', 'A5065751795', 'A5054638811', 'A5014048759', 'A5060733808', 'A5042663607', 'A5025218537']"
39,https://openalex.org/W2170197568,2009.0,147,"['A5079452617', 'A5080049532', 'A5067563991']"
40,https://openalex.org/W2968972313,2019.0,146,"['A5101676626', 'A5074129504', 'A5044130443', 'A5017222566', 'A5071422618', 'A5071165387']"
41,https://openalex.org/W2930996042,2019.0,145,"['A5042192372', 'A5090730667', 'A5084955495']"
42,https://openalex.org/W2100346081,2012.0,141,"['A5070491108', 'A5014662127', 'A5036281933', 'A5025218537']"
43,https://openalex.org/W2974009117,2019.0,141,"['A5079841024', 'A5079452617']"
44,https://openalex.org/W2076951570,2014.0,139,"['A5008514010', 'A5015410965', 'A5014048759', 'A5106691622', 'A5089255872', 'A5025218537', 'A5000035181']"
45,https://openalex.org/W2469717596,2016.0,136,"['A5068819495', 'A5055067049', 'A5073578227', 'A5032926589', 'A5044898565', 'A5024505700']"
46,https://openalex.org/W2531252297,2016.0,136,"['A5009019474', 'A5019875643', 'A5084955495', 'A5061923992', 'A5100737046', 'A5049470149', 'A5015763173']"
47,https://openalex.org/W2409848655,2016.0,135,"['A5023075601', 'A5071165387']"
48,https://openalex.org/W1897880214,2021.0,133,"['A5084955495', 'A5061810530', 'A5067688305', 'A5062093738']"
49,https://openalex.org/W2508833275,2016.0,132,"['A5002595735', 'A5068819495', 'A5044898565', 'A5024505700']"
50,https://openalex.org/W3098439442,2015.0,131,"['A5067563991', 'A5002087412', 'A5079452617']"
51,https://openalex.org/W4309475065,2022.0,111,"['A5052428520', 'A5082736459', 'A5067563991', 'A5079452617']"
