author_id,display_name,works_api_url,h_index,works_count,country_code
A5058810080,Denis Bonnay,https://api.openalex.org/works?filter=author.id:A5058810080,12.0,72.0,FR
A5079881269,Richard Johansson,https://api.openalex.org/works?filter=author.id:A5079881269,23.0,158.0,
A5021210667,Dominik Brunner,https://api.openalex.org/works?filter=author.id:A5021210667,66.0,581.0,CH
A5033848785,Marlene Lutz,https://api.openalex.org/works?filter=author.id:A5033848785,3.0,13.0,
A5032446414,Yingdan Lu,https://api.openalex.org/works?filter=author.id:A5032446414,12.0,47.0,US
A5100448217,Li Song,https://api.openalex.org/works?filter=author.id:A5100448217,142.0,1448.0,CN
A5044421492,Peidong Mei,https://api.openalex.org/works?filter=author.id:A5044421492,2.0,9.0,GB
A5052965447,Gourab Ghoshal,https://api.openalex.org/works?filter=author.id:A5052965447,24.0,105.0,GB
A5058710207,Caroline Holt,https://api.openalex.org/works?filter=author.id:A5058710207,2.0,2.0,
A5025451579,Kiara L. Sanchez,https://api.openalex.org/works?filter=author.id:A5025451579,3.0,5.0,
A5032431129,Pedro Ramaciotti Morales,https://api.openalex.org/works?filter=author.id:A5032431129,9.0,79.0,FR
A5014829765,Steven Block,https://api.openalex.org/works?filter=author.id:A5014829765,25.0,74.0,GB
A5020901777,Paul E. Smaldino,https://api.openalex.org/works?filter=author.id:A5020901777,32.0,203.0,US
A5036032919,Douglas Guilbeault,https://api.openalex.org/works?filter=author.id:A5036032919,12.0,57.0,US
A5057262624,Miriam Hurtado Bodell,https://api.openalex.org/works?filter=author.id:A5057262624,3.0,12.0,
A5039705639,Ariella Kristal,https://api.openalex.org/works?filter=author.id:A5039705639,6.0,37.0,US
A5010431622,Jianxin Xue,https://api.openalex.org/works?filter=author.id:A5010431622,35.0,226.0,CN
A5004787389,André Calero Valdez,https://api.openalex.org/works?filter=author.id:A5004787389,26.0,180.0,DE
A5052234409,Samantha Vilkins,https://api.openalex.org/works?filter=author.id:A5052234409,5.0,18.0,AU
A5062910836,Yulia Tsvetkov,https://api.openalex.org/works?filter=author.id:A5062910836,35.0,276.0,US
A5089842725,Alexi Quintana,https://api.openalex.org/works?filter=author.id:A5089842725,13.0,133.0,US
A5067566095,J.M. Gilsbach,https://api.openalex.org/works?filter=author.id:A5067566095,1.0,7.0,DE
A5100431833,Wei Liu,https://api.openalex.org/works?filter=author.id:A5100431833,36.0,308.0,CN
A5108858557,Jiho. Kwak,https://api.openalex.org/works?filter=author.id:A5108858557,0.0,1.0,KR
A5066172157,Marcelo Calderón,https://api.openalex.org/works?filter=author.id:A5066172157,47.0,212.0,ES
A5103100943,Torben S. D. Johansen,https://api.openalex.org/works?filter=author.id:A5103100943,4.0,11.0,DK
A5022638781,Pranav Goel,https://api.openalex.org/works?filter=author.id:A5022638781,8.0,37.0,US
A5022479813,Anjalie Field,https://api.openalex.org/works?filter=author.id:A5022479813,29.0,131.0,US
A5063647785,James Druckman,https://api.openalex.org/works?filter=author.id:A5063647785,76.0,622.0,US
A5076235905,Matthew G. Burgess,https://api.openalex.org/works?filter=author.id:A5076235905,23.0,73.0,
A5047335001,Henrikki Tenkanen,https://api.openalex.org/works?filter=author.id:A5047335001,21.0,81.0,
A5054586972,Michael Szell,https://api.openalex.org/works?filter=author.id:A5054586972,25.0,81.0,IT
A5080502439,Armin Pournaki,https://api.openalex.org/works?filter=author.id:A5080502439,4.0,26.0,FR
A5032475130,Frank W. Takes,https://api.openalex.org/works?filter=author.id:A5032475130,15.0,121.0,NL
A5064038244,Hao Wu,https://api.openalex.org/works?filter=author.id:A5064038244,38.0,121.0,US
A5079648413,Nir Grinberg,https://api.openalex.org/works?filter=author.id:A5079648413,9.0,31.0,IL
A5100624179,Florian Meier,https://api.openalex.org/works?filter=author.id:A5100624179,34.0,91.0,RU
A5081350025,Elizabeth A. Jacobs,https://api.openalex.org/works?filter=author.id:A5081350025,50.0,261.0,US
A5016430518,Johannes Mast,https://api.openalex.org/works?filter=author.id:A5016430518,6.0,20.0,US
A5038255653,Erik Brynjolfsson,https://api.openalex.org/works?filter=author.id:A5038255653,85.0,324.0,US
A5044701156,Janine Schröder,https://api.openalex.org/works?filter=author.id:A5044701156,2.0,12.0,
A5078609284,AmirEmad Ghassami,https://api.openalex.org/works?filter=author.id:A5078609284,11.0,66.0,
A5055710645,Jon Kleinberg,https://api.openalex.org/works?filter=author.id:A5055710645,115.0,563.0,US
A5040846333,Mark Kennedy,https://api.openalex.org/works?filter=author.id:A5040846333,24.0,192.0,GB
A5058847520,Ruben L. Bach,https://api.openalex.org/works?filter=author.id:A5058847520,14.0,65.0,DE
A5064565742,Hans‐Joachim Voth,https://api.openalex.org/works?filter=author.id:A5064565742,43.0,301.0,CH
A5101922299,Stephanie Wang,https://api.openalex.org/works?filter=author.id:A5101922299,14.0,70.0,US
A5030437828,Onkar Sadekar,https://api.openalex.org/works?filter=author.id:A5030437828,6.0,15.0,AT
A5007746083,Daniel G. Goldstein,https://api.openalex.org/works?filter=author.id:A5007746083,48.0,230.0,US
A5066089123,Byungkyu Lee,https://api.openalex.org/works?filter=author.id:A5066089123,14.0,190.0,US
A5021149437,Paul L. Plener,https://api.openalex.org/works?filter=author.id:A5021149437,52.0,443.0,DE
A5109587088,Ruining He,https://api.openalex.org/works?filter=author.id:A5109587088,18.0,30.0,
A5059509038,Silvia Giordano,https://api.openalex.org/works?filter=author.id:A5059509038,77.0,588.0,CH
