author_id,display_name,works_api_url,h_index,works_count,country_code
A5069479167,Didem Gündoğdu,https://api.openalex.org/works?filter=author.id:A5069479167,3.0,10.0,DE
A5037727403,Siming Huang,https://api.openalex.org/works?filter=author.id:A5037727403,38.0,115.0,US
A5022660208,Maria Brandén,https://api.openalex.org/works?filter=author.id:A5022660208,20.0,63.0,SE
A5078658990,Yann Renisio,https://api.openalex.org/works?filter=author.id:A5078658990,4.0,30.0,FR
A5044898565,Dino Pedreschi,https://api.openalex.org/works?filter=author.id:A5044898565,58.0,386.0,IT
A5008862185,Federico Pilati,https://api.openalex.org/works?filter=author.id:A5008862185,5.0,24.0,CH
A5103005408,Jae-Hyuk Park,https://api.openalex.org/works?filter=author.id:A5103005408,28.0,121.0,GB
A5109368065,Jan van der Laan,https://api.openalex.org/works?filter=author.id:A5109368065,9.0,42.0,NL
A5025218537,Vittoria Colizza,https://api.openalex.org/works?filter=author.id:A5025218537,60.0,274.0,FR
A5077871284,Anastassia Vybornova,https://api.openalex.org/works?filter=author.id:A5077871284,5.0,23.0,DK
A5071261828,James Evans,https://api.openalex.org/works?filter=author.id:A5071261828,59.0,765.0,US
A5079452617,Viola Priesemann,https://api.openalex.org/works?filter=author.id:A5079452617,37.0,248.0,DE
A5071165387,Mirta Galešić,https://api.openalex.org/works?filter=author.id:A5071165387,47.0,196.0,US
A5101438520,Xiaoli Zhu,https://api.openalex.org/works?filter=author.id:A5101438520,16.0,119.0,CN
A5053982410,Fábio Sartori,https://api.openalex.org/works?filter=author.id:A5053982410,14.0,129.0,IT
A5073010651,Sabin Roman,https://api.openalex.org/works?filter=author.id:A5073010651,8.0,21.0,SI
A5042433819,Xinyi Zhao,https://api.openalex.org/works?filter=author.id:A5042433819,29.0,147.0,CN
A5038292442,Nadezhda Ozornina,https://api.openalex.org/works?filter=author.id:A5038292442,3.0,4.0,KR
A5101447815,Daniel R. O’Brien,https://api.openalex.org/works?filter=author.id:A5101447815,34.0,146.0,US
A5083439440,Minji Heo,https://api.openalex.org/works?filter=author.id:A5083439440,1.0,1.0,KR
A5006932859,Xihong Lu,https://api.openalex.org/works?filter=author.id:A5006932859,119.0,497.0,CN
A5018646665,Hope Schroeder,https://api.openalex.org/works?filter=author.id:A5018646665,5.0,15.0,US
A5042045761,Ruiyao Liu,https://api.openalex.org/works?filter=author.id:A5042045761,11.0,38.0,CN
A5084955495,Jisun An,https://api.openalex.org/works?filter=author.id:A5084955495,32.0,184.0,CN
A5026555452,Júlia Galántai,https://api.openalex.org/works?filter=author.id:A5026555452,2.0,6.0,HU
A5070565287,Wenfei Fan,https://api.openalex.org/works?filter=author.id:A5070565287,58.0,297.0,CN
A5058212934,David Bamman,https://api.openalex.org/works?filter=author.id:A5058212934,29.0,106.0,US
A5054504541,Ricardo R. Cevallos,https://api.openalex.org/works?filter=author.id:A5054504541,8.0,17.0,US
A5069375338,Philipp Koch,https://api.openalex.org/works?filter=author.id:A5069375338,41.0,176.0,DE
A5110977801,Vinicius Muraro,https://api.openalex.org/works?filter=author.id:A5110977801,2.0,5.0,BR
A5100675358,Ai‐Jun Wang,https://api.openalex.org/works?filter=author.id:A5100675358,81.0,724.0,US
A5090526778,Yuan Chang Leong,https://api.openalex.org/works?filter=author.id:A5090526778,15.0,60.0,US
A5042234223,Rui Mata,https://api.openalex.org/works?filter=author.id:A5042234223,40.0,179.0,CH
A5048056611,Clemens Stachl,https://api.openalex.org/works?filter=author.id:A5048056611,21.0,93.0,CH
A5003213649,Talayeh Aledavood,https://api.openalex.org/works?filter=author.id:A5003213649,16.0,62.0,FI
A5070916458,Miia Bask,https://api.openalex.org/works?filter=author.id:A5070916458,10.0,44.0,SE
A5100447435,Jiyoung Lee,https://api.openalex.org/works?filter=author.id:A5100447435,41.0,253.0,KR
A5101468041,Hyoji Choi,https://api.openalex.org/works?filter=author.id:A5101468041,11.0,21.0,KR
A5052449725,Davide Molteni,https://api.openalex.org/works?filter=author.id:A5052449725,6.0,23.0,IT
A5005219721,Pier Luigi Sacco,https://api.openalex.org/works?filter=author.id:A5005219721,33.0,292.0,IT
A5046449632,Hannes Taubenböck,https://api.openalex.org/works?filter=author.id:A5046449632,52.0,483.0,DE
A5056169745,Paschalis Steiropoulos,https://api.openalex.org/works?filter=author.id:A5056169745,44.0,402.0,GR
A5002715752,Laia Castro,https://api.openalex.org/works?filter=author.id:A5002715752,15.0,43.0,ES
A5024795472,Éric Gilbert,https://api.openalex.org/works?filter=author.id:A5024795472,55.0,210.0,US
A5064171835,Mathias Wullum Nielsen,https://api.openalex.org/works?filter=author.id:A5064171835,22.0,100.0,DK
A5012591564,Roberta Angelico,https://api.openalex.org/works?filter=author.id:A5012591564,26.0,155.0,
A5002490736,A. K. Tyagi,https://api.openalex.org/works?filter=author.id:A5002490736,68.0,741.0,IN
A5027079032,Daniel B. Larremore,https://api.openalex.org/works?filter=author.id:A5027079032,33.0,124.0,US
A5072261415,Petra Kralj Novak,https://api.openalex.org/works?filter=author.id:A5072261415,20.0,97.0,AT
A5063837575,Przemyslaw A. Grabowicz,https://api.openalex.org/works?filter=author.id:A5063837575,14.0,57.0,IE
A5013712887,Sandra Babcock,https://api.openalex.org/works?filter=author.id:A5013712887,2.0,18.0,US
A5050678130,M. Belal Hossain,https://api.openalex.org/works?filter=author.id:A5050678130,47.0,497.0,
A5034468528,Massimiliano Di Luca,https://api.openalex.org/works?filter=author.id:A5034468528,28.0,168.0,GB
A5077722217,Yuqi Chang,https://api.openalex.org/works?filter=author.id:A5077722217,4.0,9.0,
A5080488841,Norina Anna Furrer,https://api.openalex.org/works?filter=author.id:A5080488841,1.0,3.0,CH
A5021448872,Matthew J. Hornsey,https://api.openalex.org/works?filter=author.id:A5021448872,68.0,333.0,AU
A5038775913,Paolo Cornale,https://api.openalex.org/works?filter=author.id:A5038775913,14.0,76.0,IT
A5037188851,David Gamba,https://api.openalex.org/works?filter=author.id:A5037188851,1.0,5.0,US
A5072046918,Joshua A. Tucker,https://api.openalex.org/works?filter=author.id:A5072046918,62.0,417.0,US
A5019523274,Josef Ginnerskov,https://api.openalex.org/works?filter=author.id:A5019523274,1.0,3.0,SE
A5074755166,Eckehard Olbrich,https://api.openalex.org/works?filter=author.id:A5074755166,23.0,111.0,
A5070909977,Edwin de Jonge,https://api.openalex.org/works?filter=author.id:A5070909977,8.0,58.0,NL
A5015080044,Sune Lehmann,https://api.openalex.org/works?filter=author.id:A5015080044,44.0,207.0,DK
A5102800569,Wenrui Huang,https://api.openalex.org/works?filter=author.id:A5102800569,39.0,232.0,CN
A5023942291,Ryosuke Harakawa,https://api.openalex.org/works?filter=author.id:A5023942291,9.0,73.0,JP
A5056166213,Derek Powell,https://api.openalex.org/works?filter=author.id:A5056166213,21.0,67.0,US
A5048176602,Vedran Sekara,https://api.openalex.org/works?filter=author.id:A5048176602,12.0,43.0,US
A5052788698,Alessia Galdeman,https://api.openalex.org/works?filter=author.id:A5052788698,5.0,15.0,IT
A5100401280,Feng Zhang,https://api.openalex.org/works?filter=author.id:A5100401280,64.0,742.0,CN
A5038920997,Frenk van Harreveld,https://api.openalex.org/works?filter=author.id:A5038920997,37.0,192.0,NL
