id,publication_year,cited_by_count,author_ids
https://openalex.org/W2889504592,2020,264,"['https://openalex.org/A5050448347', 'https://openalex.org/A5066593729', 'https://openalex.org/A5072503522']"
https://openalex.org/W2015511055,2008,178,"['https://openalex.org/A5113457968', 'https://openalex.org/A5051165484', 'https://openalex.org/A5014134916', 'https://openalex.org/A5066471657', 'https://openalex.org/A5032099717', 'https://openalex.org/A5054898551', 'https://openalex.org/A5110421708', 'https://openalex.org/A5069896191', 'https://openalex.org/A5079656278', 'https://openalex.org/A5035998096', 'https://openalex.org/A5076975160', 'https://openalex.org/A5066593729', 'https://openalex.org/A5078186397', 'https://openalex.org/A5063753192', 'https://openalex.org/A5100603467']"
https://openalex.org/W2046064162,2008,156,"['https://openalex.org/A5051165484', 'https://openalex.org/A5014134916', 'https://openalex.org/A5113457968', 'https://openalex.org/A5066471657', 'https://openalex.org/A5032099717', 'https://openalex.org/A5054898551', 'https://openalex.org/A5110421708', 'https://openalex.org/A5069896191', 'https://openalex.org/A5079656278', 'https://openalex.org/A5035998096', 'https://openalex.org/A5076975160', 'https://openalex.org/A5066593729', 'https://openalex.org/A5078186397', 'https://openalex.org/A5063753192', 'https://openalex.org/A5100603467']"
https://openalex.org/W2336958366,2016,147,"['https://openalex.org/A5066593729', 'https://openalex.org/A5067990152', 'https://openalex.org/A5063930699']"
https://openalex.org/W3087178088,2021,138,"['https://openalex.org/A5066593729', 'https://openalex.org/A5087796283', 'https://openalex.org/A5049091735', 'https://openalex.org/A5017430000']"
https://openalex.org/W2897733124,2019,85,"['https://openalex.org/A5076493682', 'https://openalex.org/A5006411668', 'https://openalex.org/A5066593729', 'https://openalex.org/A5011080599', 'https://openalex.org/A5036692786']"
https://openalex.org/W4387096147,2023,76,"['https://openalex.org/A5102968048', 'https://openalex.org/A5040591720', 'https://openalex.org/A5066593729', 'https://openalex.org/A5087796283']"
https://openalex.org/W1983531075,1995,72,"['https://openalex.org/A5006534630', 'https://openalex.org/A5010999224', 'https://openalex.org/A5110353724', 'https://openalex.org/A5066593729']"
https://openalex.org/W3036874630,2020,64,"['https://openalex.org/A5019137857', 'https://openalex.org/A5066593729', 'https://openalex.org/A5087796283']"
https://openalex.org/W2460717728,2016,51,"['https://openalex.org/A5083886767', 'https://openalex.org/A5066593729']"
https://openalex.org/W1969811808,2011,41,"['https://openalex.org/A5056320825', 'https://openalex.org/A5066471657', 'https://openalex.org/A5027607505', 'https://openalex.org/A5054077502', 'https://openalex.org/A5102859881', 'https://openalex.org/A5066593729']"
https://openalex.org/W2079724012,2011,28,"['https://openalex.org/A5112321819', 'https://openalex.org/A5101923988', 'https://openalex.org/A5054150623', 'https://openalex.org/A5054898551', 'https://openalex.org/A5110421708', 'https://openalex.org/A5101869828', 'https://openalex.org/A5069896191', 'https://openalex.org/A5066593729', 'https://openalex.org/A5051165484', 'https://openalex.org/A5078186397', 'https://openalex.org/A5100603467', 'https://openalex.org/A5086772464']"
https://openalex.org/W2028428034,2007,20,"['https://openalex.org/A5103456830', 'https://openalex.org/A5103166219', 'https://openalex.org/A5057938506', 'https://openalex.org/A5061095507', 'https://openalex.org/A5030457768', 'https://openalex.org/A5051165484', 'https://openalex.org/A5066593729', 'https://openalex.org/A5112659930', 'https://openalex.org/A5012939492', 'https://openalex.org/A5103110354']"
https://openalex.org/W2066763801,2012,20,"['https://openalex.org/A5112659930', 'https://openalex.org/A5066593729', 'https://openalex.org/A5039142974', 'https://openalex.org/A5066471657', 'https://openalex.org/A5041484627', 'https://openalex.org/A5110764557']"
https://openalex.org/W4386695879,2023,16,"['https://openalex.org/A5102968048', 'https://openalex.org/A5066593729', 'https://openalex.org/A5067990152', 'https://openalex.org/A5034952131']"
https://openalex.org/W4402858161,2024,5,"['https://openalex.org/A5102968048', 'https://openalex.org/A5040591720', 'https://openalex.org/A5066593729', 'https://openalex.org/A5100361539']"
https://openalex.org/W2170966192,2010,62,"['https://openalex.org/A5001849461', 'https://openalex.org/A5076693095', 'https://openalex.org/A5112617544', 'https://openalex.org/A5078186397', 'https://openalex.org/A5054898551', 'https://openalex.org/A5087995810', 'https://openalex.org/A5066593729', 'https://openalex.org/A5101923988', 'https://openalex.org/A5051165484', 'https://openalex.org/A5102784952', 'https://openalex.org/A5069896191']"
https://openalex.org/W2562062209,2017,55,"['https://openalex.org/A5066593729', 'https://openalex.org/A5036692786']"
https://openalex.org/W2981032677,2020,49,"['https://openalex.org/A5102968048', 'https://openalex.org/A5066593729', 'https://openalex.org/A5017430000']"
https://openalex.org/W2087234608,2004,46,"['https://openalex.org/A5075837469', 'https://openalex.org/A5066593729', 'https://openalex.org/A5077617345', 'https://openalex.org/A5042392029']"
https://openalex.org/W2056211952,1998,41,"['https://openalex.org/A5066593729', 'https://openalex.org/A5042965489', 'https://openalex.org/A5109540786', 'https://openalex.org/A5000264811', 'https://openalex.org/A5110184500', 'https://openalex.org/A5113639548']"
https://openalex.org/W2075405426,2012,41,"['https://openalex.org/A5076693095', 'https://openalex.org/A5073797394', 'https://openalex.org/A5109951590', 'https://openalex.org/A5110146730', 'https://openalex.org/A5100662519', 'https://openalex.org/A5001849461', 'https://openalex.org/A5110547070', 'https://openalex.org/A5017433072', 'https://openalex.org/A5100701125', 'https://openalex.org/A5101926797', 'https://openalex.org/A5103038222', 'https://openalex.org/A5010493327', 'https://openalex.org/A5101437604', 'https://openalex.org/A5023711449', 'https://openalex.org/A5054898551', 'https://openalex.org/A5101869828', 'https://openalex.org/A5069896191', 'https://openalex.org/A5113457968', 'https://openalex.org/A5002397985', 'https://openalex.org/A5076975160', 'https://openalex.org/A5067462942', 'https://openalex.org/A5071380552', 'https://openalex.org/A5109323266', 'https://openalex.org/A5103549456', 'https://openalex.org/A5010765027', 'https://openalex.org/A5066593729', 'https://openalex.org/A5101923988', 'https://openalex.org/A5044835178', 'https://openalex.org/A5051165484', 'https://openalex.org/A5078186397', 'https://openalex.org/A5061276791', 'https://openalex.org/A5081985713', 'https://openalex.org/A5008834412', 'https://openalex.org/A5014530598', 'https://openalex.org/A5110146729']"
https://openalex.org/W3006536037,2020,34,"['https://openalex.org/A5000161232', 'https://openalex.org/A5075633645', 'https://openalex.org/A5066593729']"
https://openalex.org/W3128611433,2021,22,"['https://openalex.org/A5066593729', 'https://openalex.org/A5087796283']"
https://openalex.org/W3206921817,2021,17,"['https://openalex.org/A5066593729', 'https://openalex.org/A5036692786', 'https://openalex.org/A5087796283']"
https://openalex.org/W2992470882,2019,4,"['https://openalex.org/A5057281562', 'https://openalex.org/A5020654056', 'https://openalex.org/A5088977741']"
https://openalex.org/W4406313402,2025,2,"['https://openalex.org/A5058251552', 'https://openalex.org/A5020654056']"
https://openalex.org/W4406469188,2024,1,"['https://openalex.org/A5051671650', 'https://openalex.org/A5115906602', 'https://openalex.org/A5020654056', 'https://openalex.org/A5002067855', 'https://openalex.org/A5067666349']"
https://openalex.org/W2993076106,2019,3,['https://openalex.org/A5020654056']
https://openalex.org/W3046843272,2020,0,"['https://openalex.org/A5026212874', 'https://openalex.org/A5020654056']"
https://openalex.org/W3046992915,2020,0,['https://openalex.org/A5020654056']
https://openalex.org/W3185148439,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3186094702,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3186376956,2020,0,['https://openalex.org/A5020654056']
https://openalex.org/W3186863421,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3187599653,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3187975424,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3188028227,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3188557575,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3188577122,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3189659175,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3190193825,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3190995127,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3192287587,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3192647685,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3192824634,2020,0,['https://openalex.org/A5020654056']
https://openalex.org/W3194719126,2021,0,['https://openalex.org/A5020654056']
https://openalex.org/W3194770083,2021,0,['https://openalex.org/A5020654056']
